tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
614,2018-07-16 16:37:47.566000,2018-07-16 16:48:02.427000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,830,Subscriber,1963,2
267,2018-07-16 07:13:05.700000,2018-07-16 07:17:33.377000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2797,Subscriber,1963,2
1322,2018-07-18 13:36:02.483000,2018-07-18 13:58:05.085000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,3045,Subscriber,1956,2
1447,2018-07-18 15:40:00.896000,2018-07-18 16:04:08.738000,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3045,Subscriber,1956,2
304,2018-07-19 16:15:30.548000,2018-07-19 16:20:35.465000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1871,Subscriber,1963,2
318,2018-07-19 07:43:22.338000,2018-07-19 07:48:41.224000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2662,Subscriber,1963,2
734,2018-07-19 16:50:29.538000,2018-07-19 17:02:44.369000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,49,Stuart St at Charles St,42.351146,-71.066289,941,Subscriber,1942,2
689,2018-07-19 15:38:06.552000,2018-07-19 15:49:36.236000,49,Stuart St at Charles St,42.351146,-71.066289,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2159,Subscriber,1942,2
276,2018-07-24 16:16:20.106000,2018-07-24 16:20:56.393000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,19,Subscriber,1963,2
291,2018-07-24 07:14:27.801000,2018-07-24 07:19:19.563000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,1288,Subscriber,1963,2
285,2018-07-25 16:13:08.477000,2018-07-25 16:17:54.206000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,29,Subscriber,1963,2
360,2018-07-25 07:13:28.360000,2018-07-25 07:19:28.637000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,531,Subscriber,1963,2
290,2018-07-26 13:28:47.100000,2018-07-26 13:33:37.247000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2594,Subscriber,1963,2
314,2018-07-26 07:11:26.636000,2018-07-26 07:16:41.470000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,1989,Subscriber,1963,2
327,2018-07-30 16:14:14.360000,2018-07-30 16:19:42.314000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2369,Subscriber,1963,2
263,2018-07-30 07:11:23.393000,2018-07-30 07:15:47.232000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3235,Subscriber,1963,2
275,2018-07-31 16:42:37.759000,2018-07-31 16:47:13.057000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,653,Subscriber,1963,2
367,2018-07-31 07:53:08.333000,2018-07-31 07:59:15.936000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2825,Subscriber,1963,2
374,2018-08-01 16:13:53.308000,2018-08-01 16:20:07.329000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1029,Subscriber,1963,2
373,2018-08-01 07:46:46.791000,2018-08-01 07:53:00.495000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2104,Subscriber,1963,2
323,2018-08-20 16:13:18.220000,2018-08-20 16:18:41.857000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,3607,Subscriber,1963,2
335,2018-08-20 07:44:14.645000,2018-08-20 07:49:50.322000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3184,Subscriber,1963,2
284,2018-08-23 11:13:53.950000,2018-08-23 11:18:38.741000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,3451,Subscriber,1963,2
327,2018-08-23 07:14:59.313000,2018-08-23 07:20:26.584000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2685,Subscriber,1963,2
717,2018-08-29 15:48:37.713000,2018-08-29 16:00:34.928000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,98,Warren St at Chelsea St,42.371848,-71.060292,3118,Subscriber,1953,2
977,2018-08-29 20:29:29.994000,2018-08-29 20:45:47.081000,98,Warren St at Chelsea St,42.371848,-71.060292,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2541,Subscriber,1953,2
299,2018-08-29 16:15:19.338000,2018-08-29 16:20:18.769000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1000,Subscriber,1963,2
303,2018-08-29 07:43:07.724000,2018-08-29 07:48:10.818000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2270,Subscriber,1963,2
536,2018-08-30 15:26:39.034000,2018-08-30 15:35:35.537000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,35,Arch St at Franklin St,42.355335019412564,-71.0582291708306,2686,Subscriber,1962,2
413,2018-08-30 14:50:11.907000,2018-08-30 14:57:05.200000,35,Arch St at Franklin St,42.355335019412564,-71.0582291708306,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3701,Subscriber,1962,2
327,2018-09-05 16:17:09.742000,2018-09-05 16:22:37.505000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,3760,Subscriber,1963,2
348,2018-09-05 07:14:22.918000,2018-09-05 07:20:11.596000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3931,Subscriber,1963,2
372,2018-09-06 16:13:51.443000,2018-09-06 16:20:03.983000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2421,Subscriber,1963,2
355,2018-09-06 07:47:29.743000,2018-09-06 07:53:24.899000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3728,Subscriber,1963,2
361,2018-09-07 16:14:01.855000,2018-09-07 16:20:02.992000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2070,Subscriber,1963,2
390,2018-09-07 07:44:59.061000,2018-09-07 07:51:29.445000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3416,Subscriber,1963,2
1034,2018-09-26 14:43:22.156000,2018-09-26 15:00:36.310000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,4125,Subscriber,1954,2
2430,2018-09-26 13:16:24.087000,2018-09-26 13:56:54.357000,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,4125,Subscriber,1954,2
1598,2018-08-08 09:55:23.692000,2018-08-08 10:22:02.439000,135,ID Building East,42.344827,-71.028664,47,Cross St at Hanover St,42.362811,-71.056067,1301,Subscriber,1960,2
1292,2018-08-08 11:42:47.411000,2018-08-08 12:04:20.194000,47,Cross St at Hanover St,42.362811,-71.056067,135,ID Building East,42.344827,-71.028664,2109,Subscriber,1960,2
801,2018-07-06 18:17:37.221000,2018-07-06 18:30:58.509000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,161,W Broadway at D St,42.3391085,-71.0514432,2717,Subscriber,1963,2
895,2018-07-06 09:12:50.767000,2018-07-06 09:27:46.312000,161,W Broadway at D St,42.3391085,-71.0514432,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,2599,Subscriber,1963,2
523,2018-07-07 08:35:48.076000,2018-07-07 08:44:31.132000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2897,Subscriber,1956,2
652,2018-07-07 12:44:06.281000,2018-07-07 12:54:58.862000,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,1678,Subscriber,1956,2
482,2018-07-08 08:52:08.220000,2018-07-08 09:00:11.142000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2399,Subscriber,1956,2
745,2018-07-08 12:30:53.828000,2018-07-08 12:43:19.534000,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,3178,Subscriber,1956,2
508,2018-07-20 16:26:17.610000,2018-07-20 16:34:45.866000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2395,Subscriber,1956,2
690,2018-07-20 20:19:23.053000,2018-07-20 20:30:53.837000,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,3170,Subscriber,1956,2
614,2018-07-21 10:40:07.713000,2018-07-21 10:50:22.163000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2435,Subscriber,1956,2
823,2018-07-21 17:15:58.847000,2018-07-21 17:29:42.326000,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,2893,Subscriber,1956,2
618,2018-07-31 06:30:57.571000,2018-07-31 06:41:16.254000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2187,Subscriber,1955,2
2102,2018-07-31 05:53:22.815000,2018-07-31 06:28:25.756000,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,978,Subscriber,1955,2
441,2018-08-13 14:41:18.181000,2018-08-13 14:48:39.962000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2309,Subscriber,1962,2
