tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
718,2018-07-12 17:06:16.901000,2018-07-12 17:18:15.830000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,2438,Subscriber,1977,1
617,2018-07-13 09:16:01.676000,2018-07-13 09:26:18.912000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2384,Subscriber,1977,1
763,2018-07-13 17:20:03.900000,2018-07-13 17:32:47.108000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,2131,Subscriber,1977,1
662,2018-07-16 09:03:38.185000,2018-07-16 09:14:40.650000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2038,Subscriber,1977,1
973,2018-07-16 17:48:29.465000,2018-07-16 18:04:42.851000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,2269,Subscriber,1977,1
714,2018-07-18 09:06:02.094000,2018-07-18 09:17:56.584000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2190,Subscriber,1977,1
680,2018-07-18 17:54:25.406000,2018-07-18 18:05:46.173000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,2788,Subscriber,1977,1
658,2018-07-23 09:12:56.124000,2018-07-23 09:23:54.723000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2516,Subscriber,1977,1
749,2018-07-23 17:54:38.361000,2018-07-23 18:07:07.946000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,2694,Subscriber,1977,1
189,2018-07-25 06:42:23.302000,2018-07-25 06:45:32.880000,150,State Street at Channel Center,42.344137,-71.052608,64,Congress St at Sleeper St,42.351004495946704,-71.04930013418198,3142,Subscriber,1969,1
185,2018-07-25 12:48:33.378000,2018-07-25 12:51:38.555000,64,Congress St at Sleeper St,42.351004495946704,-71.04930013418198,150,State Street at Channel Center,42.344137,-71.052608,2772,Subscriber,1969,1
673,2018-07-25 09:01:37.912000,2018-07-25 09:12:50.920000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2098,Subscriber,1977,1
705,2018-07-25 18:22:53.887000,2018-07-25 18:34:38.922000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,2448,Subscriber,1977,1
359,2018-07-27 07:59:23.970000,2018-07-27 08:05:22.978000,163,The Lawn on D,42.344792,-71.044024,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,3095,Subscriber,1981,1
421,2018-07-27 15:06:16.792000,2018-07-27 15:13:18.680000,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,163,The Lawn on D,42.344792,-71.044024,332,Subscriber,1981,1
738,2018-07-27 09:34:44.405000,2018-07-27 09:47:02.939000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2191,Subscriber,1977,1
800,2018-07-27 16:54:23.298000,2018-07-27 17:07:44.129000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,3046,Subscriber,1977,1
581,2018-07-30 08:52:29.902000,2018-07-30 09:02:11.693000,7,Fan Pier,42.3533905070523,-71.04457139968872,23,Boston City Hall - 28 State St,42.35892,-71.057629,2359,Subscriber,1981,1
