tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
851,2018-09-07 08:47:39.976000,2018-09-07 09:01:51.569000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,177,University Park,42.36264779118595,-71.10006093978882,4094,Subscriber,1982,2
829,2018-09-07 17:13:55.212000,2018-09-07 17:27:44.243000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2597,Subscriber,1982,2
577,2018-09-07 10:20:45.618000,2018-09-07 10:30:23.242000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,2798,Subscriber,1982,2
489,2018-09-07 16:34:33.997000,2018-09-07 16:42:43.789000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,4172,Subscriber,1982,2
921,2018-09-10 08:23:17.389000,2018-09-10 08:38:38.539000,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,2050,Subscriber,1981,2
1078,2018-09-10 14:51:42.948000,2018-09-10 15:09:41.205000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,2769,Subscriber,1981,2
495,2018-09-10 11:10:15.652000,2018-09-10 11:18:31.538000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,1932,Subscriber,1982,2
416,2018-09-10 17:28:06.536000,2018-09-10 17:35:03.519000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,319,Subscriber,1982,2
763,2018-09-11 08:47:29.602000,2018-09-11 09:00:13.352000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,177,University Park,42.36264779118595,-71.10006093978882,3993,Subscriber,1982,2
803,2018-09-11 17:16:22.775000,2018-09-11 17:29:46.631000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2206,Subscriber,1982,2
1110,2018-09-12 08:24:30.342000,2018-09-12 08:43:01.252000,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,143,EF - North Point Park,42.369885,-71.069957,2699,Subscriber,1980,2
1118,2018-09-12 17:40:03.221000,2018-09-12 17:58:42.004000,143,EF - North Point Park,42.369885,-71.069957,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,4055,Subscriber,1980,2
750,2018-09-12 08:49:11.014000,2018-09-12 09:01:41.380000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,177,University Park,42.36264779118595,-71.10006093978882,4123,Subscriber,1982,2
703,2018-09-12 16:57:50.332000,2018-09-12 17:09:33.795000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3760,Subscriber,1982,2
495,2018-09-13 10:22:28.104000,2018-09-13 10:30:43.234000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,3609,Subscriber,1982,2
570,2018-09-13 16:44:28.251000,2018-09-13 16:53:58.418000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3528,Subscriber,1982,2
775,2018-09-14 07:38:46.074000,2018-09-14 07:51:41.338000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,33,Kenmore Square,42.348706,-71.097009,3953,Subscriber,1980,2
612,2018-09-14 16:34:45.889000,2018-09-14 16:44:58.165000,33,Kenmore Square,42.348706,-71.097009,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2678,Subscriber,1980,2
1057,2018-09-14 08:33:39.908000,2018-09-14 08:51:17.837000,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,143,EF - North Point Park,42.369885,-71.069957,3128,Subscriber,1980,2
1050,2018-09-14 17:41:26.056000,2018-09-14 17:58:56.823000,143,EF - North Point Park,42.369885,-71.069957,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,3791,Subscriber,1980,2
908,2018-09-14 08:55:41.886000,2018-09-14 09:10:50.597000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,3885,Subscriber,1984,2
930,2018-09-14 16:06:17.741000,2018-09-14 16:21:47.873000,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3160,Subscriber,1984,2
1041,2018-09-17 08:24:08.865000,2018-09-17 08:41:30.455000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,2543,Subscriber,1984,2
1014,2018-09-17 16:33:11.144000,2018-09-17 16:50:06.090000,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3037,Subscriber,1984,2
460,2018-09-17 09:23:34.651000,2018-09-17 09:31:15.493000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,2432,Subscriber,1983,2
491,2018-09-17 17:07:39.538000,2018-09-17 17:15:51.366000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,4104,Subscriber,1983,2
